# Pathway	t0_1_merged_trimmed_Abundance-CPM	t0_2_merged_trimmed_Abundance-CPM	t0_3_merged_trimmed_Abundance-CPM	t1_1_merged_trimmed_Abundance-CPM	t1_2_merged_trimmed_Abundance-CPM	t1_3_merged_trimmed_Abundance-CPM	t2_1_merged_trimmed_Abundance-CPM	t2_2_merged_trimmed_Abundance-CPM	t2_3_merged_trimmed_Abundance-CPM	t3_1_merged_trimmed_Abundance-CPM	t3_2_merged_trimmed_Abundance-CPM	t3_3_merged_trimmed_Abundance-CPM	t4_1_merged_trimmed_Abundance-CPM	t4_2_merged_trimmed_Abundance-CPM	t4_3_merged_trimmed_Abundance-CPM	t5_1_merged_trimmed_Abundance-CPM	t5_2_merged_trimmed_Abundance-CPM	t5_3_merged_trimmed_Abundance-CPM	t6_1_merged_trimmed_Abundance-CPM	t6_2_merged_trimmed_Abundance-CPM	t6_3_merged_trimmed_Abundance-CPM
UNMAPPED	582493	565324	574963	511438	523195	519890	570247	529604	540084	556107	553675	556261	578073	548545	563928	569319	570299	575122	568943	581925	573832
UNINTEGRATED	384532	399343	391014	445382	437679	438863	394547	430308	420965	406242	410462	406273	387505	416254	400350	396160	396120	390201	398901	387632	394620
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	16.5814	14.2219	14.089	14.1121	13.3904	13.7443	16.0189	15.4253	16.5313	13.8912	14.9335	12.845	12.4412	16.4426	14.0488	11.3636	14.0779	13.1181	11.8139	11.9783	13.3104
14DICHLORBENZDEG-PWY: 1,4-dichlorobenzene degradation	4.98424	6.64751	7.96538	19.6257	14.0872	15.3407	9.50864	11.2474	14.2198	12.8231	10.0287	8.19716	7.00978	9.74049	10.6604	7.9535	7.31705	7.57298	4.66862	3.43847	6.27418
1CMET2-PWY: folate transformations III (E. coli)	144.702	144.566	143.889	188.219	175.15	174.247	161.668	184.272	181.969	170.791	162.832	163.602	152.31	150.112	158.655	149.794	132.502	155.059	135.408	128.204	140.281
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	11.7408	13.8497	10.3815	25.9837	19.0957	22.237	11.8127	11.8008	12.0912	10.1888	11.3133	11.3554	6.84719	9.49671	7.26351	6.96537	9.738	7.52105	9.29846	8.24638	8.65879
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	3.7157	3.4464	2.59825	2.96863	3.17667	3.18549	2.61511	3.28056	3.12921	4.58466	3.70774	3.34121	3.45628	4.99767	4.104	4.57492	4.13554	4.00398	3.87891	2.68626	2.90037
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	15.8413	1.70357	8.93694	0.761497	0.226587	0	0	0.527164	0.266461	0	0.421111	0	0	0.214422	0	0	0	0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0	0	0	25.8604	7.82485	20.9256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	15.6652	17.5621	15.7006	17.3583	20.504	19.9047	16.5334	19.0149	19.12	15.8175	18.8399	18.8119	11.9592	18.6542	17.2071	13.4946	15.6722	16.8563	14.9661	14.2061	13.1655
ANAEROFRUCAT-PWY: homolactic fermentation	150.573	164.335	157.635	176.285	169.401	178.663	163.068	186.362	175.611	169.887	164.044	175.259	162.34	161.334	166.497	163.193	160.398	162.074	146.658	140.311	147.909
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	202.141	209.458	205.447	218.668	220.966	220.95	205.575	233.865	220.68	217.315	202.581	214.552	206.474	201.977	210.399	212.063	201.975	203.918	195.302	180.463	191.083
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	70.6134	72.722	74.4131	108.161	85.0228	99.7955	67.9417	70.9507	77.5422	63.9959	71.4218	72.4833	60.7017	69.8316	72.1852	66.469	71.5566	65.4535	69.0599	64.0679	69.7737
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	9.64219	12.0029	6.5921	77.4649	52.5298	65.9039	22.8296	19.4423	21.2568	18.2043	22.3526	16.0811	15.0142	20.2931	14.276	14.9607	16.2461	11.1705	4.05332	7.03021	4.44908
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	72.7205	78.8489	78.9983	74.5969	78.3733	76.7691	82.02	81.0432	78.0016	82.2745	80.3188	77.3752	87.41	81.4377	85.9609	92.6949	84.7692	88.3281	88.4968	83.4703	83.8496
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	243.102	254.43	250.277	252.82	259.246	254.832	242.068	257.059	248.434	247.576	241.134	249.466	233.187	240.097	239.617	239.271	234.81	239.401	234.839	218.885	236.709
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	250.381	262.972	258.661	252.2	261.688	252.647	244.553	258.161	255.569	246.072	240.344	252.97	233.784	244.377	242.877	242.613	238.853	244.733	249.469	232.022	248.282
ARO-PWY: chorismate biosynthesis I	186.646	208.617	195.291	204.347	213.094	212.57	201.262	223.317	220.426	207.766	201.438	213.217	199.23	204.844	201.847	199.597	195.604	194.45	195.398	182.421	189.625
