clade_name	t0_1	t0_2	t0_3	t1_1	t1_2	t1_3	t2_1	t2_2	t2_3	t3_1	t3_2	t3_3	t4_1	t4_2	t4_3	t5_1	t5_2	t5_3	t6_1	t6_2	t6_3
s__Nocardioides_iriomotensis	22.59559	23.1482	24.91844	1.0466	1.29001	1.22984	2.19011	1.71964	1.94772	1.46423	1.89845	2.02598	1.87898	2.18042	1.75093	1.70158	2.378	1.39756	7.8382	7.6348	6.351
s__Nitrososphaerales_archaeon_TH5888	18.74664	14.33405	16.7513	0.45627	1.07428	0.56966	2.80836	1.09395	0.84261	1.17516	3.33968	1.50477	3.44134	5.69339	2.57694	2.76135	6.84314	1.42851	41.10452	41.71041	43.13874
s__GGB63470_SGB85778	7.83231	6.76656	6.46455	0.06196	0.31399	0.13668	0.05084	0.1138	0.09171	0.01183	0.03924	0.035	0.0	0.07871	0.00565	0.01789	0.0337	0.11525	1.46385	2.05852	1.54786
s__Methylocystis_sp_B8	6.41731	5.74066	8.57896	0.25368	0.69543	0.41032	0.54818	0.57816	0.18999	0.48261	0.4257	0.3622	0.26943	0.34858	0.18609	0.24201	0.53416	0.19178	1.75581	1.09656	1.76214
s__Priestia_megaterium	6.26471	6.15323	6.5715	0.35366	0.59042	0.51731	0.68856	0.52139	0.4161	0.57444	0.6139	0.51408	0.75628	0.88136	0.61921	1.10956	1.3106	0.83251	6.96441	6.97133	7.06894
s__Nitrososphaerales_archaeon_TH5896	5.16971	2.78839	3.13112	0.1316	0.26259	0.19223	0.47856	0.2794	0.3185	0.396	0.57216	0.45389	1.31374	1.56341	1.09953	1.96496	2.39602	0.95027	9.48353	6.99402	7.55292
s__GGB66002_SGB89409	4.24711	2.51354	3.08267	0.18248	0.45514	0.26664	0.81654	0.42677	0.38784	0.47005	0.61642	0.49874	0.66242	1.18802	0.58227	0.45838	0.85897	0.5106	5.22169	8.53404	7.69101
s__Hyphomicrobium_album	3.06099	2.83196	2.86472	0.16862	0.27112	0.24189	0.37356	0.35192	0.26398	0.27375	0.39822	0.34164	0.51599	0.68439	0.39222	0.60107	0.66143	0.38338	3.04614	2.87366	3.00729
s__Nocardioides_guangzhouensis	2.46296	2.66655	2.93784	0.19559	0.25747	0.26536	0.57533	0.72741	0.72311	0.62608	0.54889	0.73449	0.70432	0.70446	0.73228	0.93021	0.45782	0.63707	0.44722	0.2451	0.05784
s__Rhizobium_sp_S_51	2.026	0.0	0.0	0.02335	0.02808	0.04967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacillus_tepidiphilus	1.96356	1.53	2.3891	0.17019	0.10271	0.17859	0.15824	0.18325	0.21888	0.22679	0.2162	0.18628	0.25567	0.28604	0.19501	0.90706	0.35786	0.56491	2.34368	1.21596	1.68343
s__Pleurocapsales_cyanobacterium_LEGE_06147	1.69972	1.99642	1.51503	0.07341	0.10042	0.1265	0.11662	0.10657	0.12094	0.12801	0.1264	0.07431	0.05641	0.12158	0.04403	0.0438	0.0812	0.03097	0.99027	0.76177	0.67889
s__Rhodococcus_ruber	1.63273	3.42668	1.54594	0.16521	0.08139	0.24628	2.03228	6.94814	8.76017	4.95615	1.60553	9.6659	6.20673	1.89672	9.60171	6.40751	2.91573	9.49489	1.99606	2.33822	1.12974
s__GGB66002_SGB89410	1.5742	0.67148	1.29745	0.03445	0.10377	0.04398	0.16108	0.18277	0.10689	0.13959	0.20459	0.15628	0.13156	0.38637	0.20465	0.04559	0.30023	0.0764	2.02388	2.62068	2.42411
s__Candidatus_Nitrosotenuis_cloacae	1.5034	0.83316	0.87715	0.06312	0.31682	0.21977	1.39276	0.61516	0.48411	0.66004	1.47786	0.63137	0.94869	0.91759	0.26008	0.16362	0.35612	0.06304	3.44162	4.02243	3.62585
s__Nitrosomonas_sp_Nm132	1.18159	0.59743	0.40881	0.40039	0.59983	0.17269	1.03704	1.40925	1.32945	2.08074	0.89717	1.24812	4.45462	2.1914	2.83285	4.27595	2.49125	3.01788	0.7672	0.68353	1.17994
s__Microvirga_subterranea	0.97614	1.4926	1.02165	0.1174	0.22825	0.26103	0.28122	0.38377	0.37595	0.28643	0.22923	0.36289	0.23512	0.21086	0.21103	0.12533	0.26478	0.1241	0.07405	0.10204	0.17566
s__Lysobacter_tabacisoli	0.94501	1.07517	1.09752	0.04236	0.07266	0.15498	0.03104	0.00477	0.02403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Microvirga_massiliensis	0.82837	1.0588	1.05838	0.09412	0.16241	0.13607	0.31445	0.55522	0.6032	0.66016	0.40122	0.7628	0.70237	0.60569	0.56737	0.74702	0.97425	0.73346	0.91772	0.94987	0.79339
s__Sulfuricaulis_limicola	0.82423	1.3259	0.76768	0.00346	0.11917	0.00366	0.06402	0.0729	0.05994	0.04671	0.05372	0.08201	0.00696	0.10983	0.62487	0.04256	0.09979	0.04035	1.49501	1.54523	1.38587
s__Nitrosomonas_communis	0.78007	0.82148	0.72208	0.45423	0.68758	0.4742	1.51426	2.53893	2.13623	2.72958	1.05299	2.03128	5.68928	3.57227	3.43081	6.87201	3.47544	4.2096	2.45913	1.63839	2.07327
s__Metabacillus_indicus	0.64994	0.70542	0.53001	0.05514	0.04165	0.02844	0.0	0.00297	0.01157	0.0	0.00621	0.01554	0.0	0.12001	0.03703	0.00217	0.04844	0.03328	0.49395	0.17244	0.59463
s__Ectobacillus_funiculus	0.55198	0.69339	0.82523	0.0236	0.04364	0.03542	0.0	0.04608	0.01396	0.0141	0.03234	0.03917	0.08233	0.20712	0.03783	0.09542	0.13357	0.09212	0.16188	0.02814	0.74012
s__Knoellia_flava	0.5165	0.74624	0.45655	0.0	0.01597	0.0	0.0	0.00513	0.01088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Hyphomicrobiales_bacterium	0.50657	0.3873	0.22485	17.88845	34.26008	24.7848	27.99167	10.08302	9.93387	8.03939	30.98936	7.30439	11.87076	28.67342	7.20967	9.3784	26.95611	6.5605	0.0	0.0	0.0
s__Agromyces_mariniharenae	0.5039	0.6455	0.61706	0.25705	0.38047	0.30978	1.22621	0.87288	0.74556	1.10427	1.0021	0.79363	0.63618	1.39172	0.49645	1.01396	0.8706	0.29084	0.05248	0.0	0.0
