#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	t0_1d_metagenome	t0_2d_metagenome	t0_3d_metagenome	t1_1d_metagenome	t1_2d_metagenome	t1_3d_metagenome	t2_1d_metagenome	t2_2d_metagenome	t2_3d_metagenome	t3_1d_metagenome	t3_2d_metagenome	t3_3d_metagenome	t4_1d_metagenome	t4_2d_metagenome	t4_3d_metagenome	t5_1d_metagenome	t5_2d_metagenome	t5_3d_metagenome	t6_1d_metagenome	t6_2d_metagenome	t6_3d_metagenome
k__Bacteria	74.58025	82.04441	79.24044	99.30755	98.3463	99.00584	95.32032	97.97881	98.33793	97.74567	94.59081	97.40578	94.29622	91.75954	96.06345	95.11008	90.37893	97.55334	45.97033	47.27314	45.6825
k__Archaea	25.41975	17.95559	20.75956	0.69245	1.6537	0.99416	4.67968	2.02119	1.66207	2.25433	5.40919	2.59422	5.70378	8.24046	3.93655	4.88992	9.62107	2.44666	54.02967	52.72686	54.3175
k__Bacteria|p__Actinobacteria	28.7687	33.66531	32.16994	5.32604	9.86544	7.18762	16.52818	20.39255	19.98702	15.98115	15.66148	18.78468	12.29811	16.49146	21.08021	13.20279	17.17605	14.55077	10.76644	11.76336	7.67993
k__Archaea|p__Thaumarchaeota	25.41975	17.95559	20.75956	0.65099	1.6537	0.98166	4.67968	1.9885	1.64522	2.23119	5.40919	2.59003	5.70378	8.24046	3.93655	4.88992	9.62107	2.44666	54.02967	52.72686	54.3175
k__Bacteria|p__Proteobacteria	24.82395	25.71451	24.21715	83.63779	84.85559	75.85609	72.51767	60.85573	50.11172	66.63929	72.74779	46.2752	65.20291	69.4206	39.33923	58.78608	63.13162	36.55449	20.92358	22.82626	24.42475
k__Bacteria|p__Firmicutes	10.53842	12.30963	13.80797	9.3888	2.19053	13.98925	3.54542	13.12624	26.78507	13.39914	3.57992	31.69111	16.60731	4.82607	35.35754	22.92368	9.3862	46.28301	11.76703	9.86323	11.1566
k__Bacteria|p__Nitrospirae	8.19615	7.00265	6.57247	0.06656	0.32721	0.13799	0.08342	0.12347	0.10282	0.01183	0.07821	0.04429	0.02661	0.25965	0.04272	0.09868	0.20528	0.1327	1.46385	2.05852	1.74232
k__Bacteria|p__Cyanobacteria	2.25302	2.89485	2.4729	0.08408	0.11427	0.14896	0.12147	0.12685	0.12094	0.1389	0.13641	0.07431	0.05641	0.12158	0.04403	0.0438	0.0812	0.03097	1.04944	0.76177	0.67889
k__Bacteria|p__Actinobacteria|c__Actinomycetia	28.71786	33.60054	32.12656	5.32222	9.85924	7.18762	16.52818	20.38547	19.9744	15.94487	15.65247	18.74854	12.29811	16.4729	21.0745	13.20055	17.1665	14.54642	10.76644	10.50706	7.67993
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	23.91635	17.12243	19.88241	0.58787	1.33688	0.76188	3.28693	1.37334	1.16111	1.57115	3.93133	1.95866	4.75509	7.32287	3.67647	4.7263	9.26495	2.38362	50.58805	48.70443	50.69166
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	14.09323	12.47519	14.81227	37.88486	60.45758	45.20229	48.68684	23.39212	20.69365	19.32785	54.72868	17.38353	20.34214	45.80258	12.67546	16.36949	42.9217	11.78971	5.84147	5.02213	5.84657
k__Bacteria|p__Firmicutes|c__Bacilli	10.53842	12.30963	13.80797	0.64766	0.86675	0.87884	3.03102	6.16474	20.74682	6.49512	3.07129	25.48763	8.06908	3.75074	28.11242	11.91191	8.01213	39.03507	11.76703	9.86323	11.1566
k__Bacteria|p__Nitrospirae|c__Nitrospira	8.19615	7.00265	6.57247	0.06656	0.32721	0.13799	0.08342	0.12347	0.10282	0.01183	0.07821	0.04429	0.02661	0.25965	0.04272	0.09868	0.20528	0.1327	1.46385	2.05852	1.74232
k__Bacteria|p__Proteobacteria|c__CFGB52626	5.82131	3.18503	4.38012	0.21693	0.55891	0.31062	0.97762	0.60953	0.49474	0.60964	0.82101	0.65502	0.79397	1.57439	0.78692	0.50397	1.15919	0.587	7.24557	11.15471	10.11512
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.62259	3.10162	1.63819	1.12737	2.75389	1.04793	3.55921	5.66269	5.02451	5.88169	3.02687	4.08937	10.65813	6.45147	6.61453	11.49267	6.57097	7.65308	6.03396	5.07397	6.41752
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2.25302	2.89485	2.4729	0.08408	0.11427	0.14896	0.12147	0.12685	0.12094	0.1389	0.13641	0.07431	0.05641	0.12158	0.04403	0.0438	0.0812	0.03097	1.04944	0.76177	0.67889
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1.87126	3.20037	2.10037	44.40863	21.07491	29.29014	18.532	31.12818	23.81002	39.80729	13.41714	24.0347	33.34863	14.68905	19.17879	30.31893	11.37106	16.28488	1.49501	1.54523	1.38587
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	1.5034	0.83316	0.87715	0.06312	0.31682	0.21977	1.39276	0.61516	0.48411	0.66004	1.47786	0.63137	0.94869	0.91759	0.26008	0.16362	0.35612	0.06304	3.44162	4.02243	3.62585
k__Bacteria|p__Proteobacteria|c__CFGB11088	0.36482	0.45405	0.31166	0.0	0.01029	0.0051	0.0	0.0	0.00414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30756	0.02034	0.37624
