#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/dlaw16/.conda/envs/metaphlan/bin/metaphlan /home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t4_1_ZKDN230006875-1A_H3JM5DSX7_L4_1_trimmed.fq,/home/dlaw16/dk30_scratch/dora/metagenomics/fastx_trimmed/t4_1_ZKDN230006875-1A_H3JM5DSX7_L4_2_trimmed.fq --bowtie2db /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/metaphlan_db --bowtie2out /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t4_1/t4_1_metagenome.bowtie2.bz2 --nproc 6 --input_type fastq -o /home/dlaw16/dk30_scratch/dora/metagenomics/profiling/metaphlan/t4_1/t4_1_profiled_metagenome.txt
#56726236 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	94.29622	
k__Archaea	2157	5.70378	
k__Bacteria|p__Proteobacteria	2|1224	65.20291	
k__Bacteria|p__Firmicutes	2|1239	16.60731	
k__Bacteria|p__Actinobacteria	2|201174	12.29811	
k__Archaea|p__Thaumarchaeota	2157|651137	5.70378	
k__Bacteria|p__Bacteroidetes	2|976	0.10488	
k__Bacteria|p__Cyanobacteria	2|1117	0.05641	
k__Bacteria|p__Nitrospirae	2|40117	0.02661	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	33.34863	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	20.34214	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	12.29811	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	10.65813	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.53824	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	8.06908	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	2157|651137|1643678	4.75509	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.94869	
k__Bacteria|p__Proteobacteria|c__CFGB52626	2|1224|	0.79397	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	2|976|1853228	0.10488	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified	2|1117|	0.05641	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.03691	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.02661	
k__Bacteria|p__Proteobacteria|c__CFGB14846	2|1224|	0.02314	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	33.34167	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	19.60009	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	10.14389	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	8.53824	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	8.06908	
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	4.75509	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	2.5833	
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0.94869	
k__Bacteria|p__Proteobacteria|c__CFGB52626|o__OFGB52626	2|1224||	0.79397	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.47726	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	2|201174|1760|85008	0.37017	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2|201174|1760|85010	0.28073	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.26478	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.23859	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.1516	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.12404	
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	2|976|1853228|1853229	0.10488	
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Pleurocapsales	2|1117||52604	0.05641	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	2|1224|28221|29	0.03691	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.02661	
k__Bacteria|p__Proteobacteria|c__CFGB14846|o__OFGB14846	2|1224||	0.02314	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	2|1224|1236|1692040	0.00696	
